Nazwa zmiennej;Jednostka terytorialna;Sposób prezentacji;Rok;Miesi¹c;Wartoœæ;Flaga;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;1;102,1;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;2;102,1;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;3;103,0;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;4;103,2;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;5;103,1;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;6;102,5;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;7;103,0;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;8;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;9;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;10;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;11;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2026;12;;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2025;1;104,9;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2025;2;104,9;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2025;3;104,9;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2025;4;104,3;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2025;5;104,0;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2025;6;104,1;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2025;7;103,1;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;2025;8;102,9;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;1982;1;153,2;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;1982;2;206,4;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Analogiczny miesi¹c poprzedniego roku = 100;1982;3;210,7;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Grudzieñ poprzedniego roku = 100;2026;1;100,7;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Grudzieñ poprzedniego roku = 100;2026;2;101,0;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Grudzieñ poprzedniego roku = 100;2026;3;102,1;;;
WskaŸnik cen towarów i us³ug konsumpcyjnych;Polska;Grudzieñ poprzedniego roku = 100;2026;4;102,7;;;
